Epoch,Model,Train Loss,Validation Loss
1,Byteplot,0.17196890063907788,0.614731457696962
2,Byteplot,0.05527773157835169,31.255331993103027
3,Byteplot,0.0865529498146118,0.0744561543688178
4,Byteplot,0.06227524908583449,0.43725158274173737
5,Byteplot,0.05618654064955595,0.027408459602156654
6,Byteplot,0.015596410917604098,0.04337360826320946
7,Byteplot,0.013297246688086054,0.04619806059054099
8,Byteplot,0.007408852906614218,0.04039762486354448
9,Byteplot,0.008683439470706102,0.04082961139647523
10,Byteplot,0.0055740111477106166,0.04612097817880567
1,Markov,0.16324406542369854,8.257892847061157
2,Markov,0.021691101929679026,1.2393239587545395
3,Markov,0.05934226928967173,3.7185667753219604
4,Markov,0.007498421058382677,1.8676770329475403
5,Markov,0.0027986422891958878,1.1497888267040253
6,Markov,0.0010935814694359738,0.08606912529285182
7,Markov,0.002991701278876027,0.0451241320988629
8,Markov,0.014502795412187445,0.02272998058469966
9,Markov,0.006791679444849369,0.185067085782066
10,Markov,0.0011998290688295485,0.015512506899540313
1,Simhash,0.23325697502688222,15.7502760887146
2,Simhash,0.07881905737778415,0.17649486556183547
3,Simhash,0.03790233238681179,0.11702362436335534
4,Simhash,0.03140052357617685,0.004426501272973837
5,Simhash,0.050771508431669485,0.11673882231116295
6,Simhash,0.010116412926910689,0.019518752160365693
7,Simhash,0.00773390112242297,0.0031458314042538404
8,Simhash,0.0057046040462370474,0.004386239292216487
9,Simhash,0.008758648493549908,0.0031785305764060467
10,Simhash,0.0034804505463082182,0.0016182623585336842
1,SFC_Gray,0.2968977944034597,5.807640969753265
2,SFC_Gray,0.1253675421618897,0.3691638931632042
3,SFC_Gray,0.044218391397684485,0.06869340967386961
4,SFC_Gray,0.034984236957667315,4.20937305688858
5,SFC_Gray,0.030045802583513054,0.48313709953799844
6,SFC_Gray,0.02163337764036639,0.29009440483059734
7,SFC_Gray,0.006902302005429468,0.12541401096677873
8,SFC_Gray,0.006039411791394029,0.2511762607609853
9,SFC_Gray,0.017369117637471114,0.11800226178456796
10,SFC_Gray,0.006373162993796817,0.06140836037957342
1,SFC_Hilbert,0.2610137235859166,8.839515805244446
2,SFC_Hilbert,0.10310860609878665,16.638361930847168
3,SFC_Hilbert,0.07452801821510428,0.18291369077633135
4,SFC_Hilbert,0.031367606051903946,0.07764908485114574
5,SFC_Hilbert,0.01569169166032225,0.1575193079188466
6,SFC_Hilbert,0.011357057804201284,0.04186819167807698
7,SFC_Hilbert,0.006008827835182235,0.05040241582901217
8,SFC_Hilbert,0.0037040539812195398,0.05803432496031746
9,SFC_Hilbert,0.003488373443479245,0.0834228121675551
10,SFC_Hilbert,0.002214376156031073,0.060414054001739714
1,SFC_Zorder,0.19114648074964466,26.396477222442627
2,SFC_Zorder,0.09561988460304945,1.9139129519462585
3,SFC_Zorder,0.0264707725069931,0.06526705381111242
4,SFC_Zorder,0.06543925907665296,0.9792227745056152
5,SFC_Zorder,0.02379835132792916,1.8142708595842123
6,SFC_Zorder,0.01867925405056904,0.1828931156778708
7,SFC_Zorder,0.005604553962652774,0.04119581211125478
8,SFC_Zorder,0.0034858824447323773,0.021496661356650293
9,SFC_Zorder,0.0021409022016956915,0.019192869061953388
10,SFC_Zorder,0.002816406419024924,0.021428986685350537
