Model,Accuracy,Precision,Recall,F1
Byteplot,0.9901960784313726,0.9908256880733946,0.9908256880733946,0.9908256880733946
Markov,1.0,1.0,1.0,1.0
Simhash,1.0,1.0,1.0,1.0
SFC_Gray,0.9901960784313726,1.0,0.9821428571428571,0.990990990990991
SFC_Hilbert,0.9950980392156863,0.9891304347826086,1.0,0.994535519125683
SFC_Zorder,0.9754901960784313,0.9494949494949495,1.0,0.9740932642487047
