Model,Accuracy,Precision,Recall,F1
Byteplot,0.9950980392156863,0.990909090909091,1.0,0.9954337899543378
Markov,0.9754901960784313,0.9528301886792453,1.0,0.9758454106280193
Simhash,0.9950980392156863,0.9903846153846154,1.0,0.9951690821256038
SFC_Gray,0.9852941176470589,0.991304347826087,0.9827586206896551,0.987012987012987
SFC_Hilbert,0.9754901960784313,0.9622641509433962,0.9902912621359223,0.9760765550239234
SFC_Zorder,0.9852941176470589,0.9905660377358491,0.9813084112149533,0.9859154929577465
