Model,FPR,TPR
Byteplot,0.0,0.0
Byteplot,0.0,0.009174311926605505
Byteplot,0.0,0.8715596330275229
Byteplot,0.010526315789473684,0.8715596330275229
Byteplot,0.010526315789473684,1.0
Byteplot,1.0,1.0
Markov,0.0,0.0
Markov,0.0,0.9801980198019802
Markov,0.0,1.0
Markov,1.0,1.0
Simhash,0.0,0.0
Simhash,0.0,0.009708737864077669
Simhash,0.0,0.02912621359223301
Simhash,0.0,0.11650485436893204
Simhash,0.0,0.1941747572815534
Simhash,0.0,0.21359223300970873
Simhash,0.0,0.2815533980582524
Simhash,0.0,0.30097087378640774
Simhash,0.0,0.44660194174757284
Simhash,0.0,0.46601941747572817
Simhash,0.0,0.5242718446601942
Simhash,0.0,0.5436893203883495
Simhash,0.0,0.5533980582524272
Simhash,0.0,0.5728155339805825
Simhash,0.0,0.7572815533980582
Simhash,0.0,0.7766990291262136
Simhash,0.0,0.9902912621359223
Simhash,0.009900990099009901,0.9902912621359223
Simhash,0.009900990099009901,1.0
Simhash,1.0,1.0
SFC_Gray,0.0,0.0
SFC_Gray,0.0,0.034482758620689655
SFC_Gray,0.0,0.9568965517241379
SFC_Gray,0.011363636363636364,0.9568965517241379
SFC_Gray,0.011363636363636364,1.0
SFC_Gray,1.0,1.0
SFC_Hilbert,0.0,0.0
SFC_Hilbert,0.0,0.009708737864077669
SFC_Hilbert,0.0,0.32038834951456313
SFC_Hilbert,0.0,0.33980582524271846
SFC_Hilbert,0.0,0.9611650485436893
SFC_Hilbert,0.009900990099009901,0.9611650485436893
SFC_Hilbert,0.009900990099009901,0.9805825242718447
SFC_Hilbert,0.0297029702970297,0.9805825242718447
SFC_Hilbert,0.0297029702970297,0.9902912621359223
SFC_Hilbert,0.039603960396039604,0.9902912621359223
SFC_Hilbert,0.039603960396039604,1.0
SFC_Hilbert,1.0,1.0
SFC_Zorder,0.0,0.0
SFC_Zorder,0.0,0.009345794392523364
SFC_Zorder,0.0,0.9439252336448598
SFC_Zorder,0.010309278350515464,0.9439252336448598
SFC_Zorder,0.010309278350515464,0.9813084112149533
SFC_Zorder,0.020618556701030927,0.9813084112149533
SFC_Zorder,0.020618556701030927,0.9906542056074766
SFC_Zorder,0.05154639175257732,0.9906542056074766
SFC_Zorder,0.05154639175257732,1.0
SFC_Zorder,1.0,1.0
