Model,FPR,TPR
Byteplot,0.0,0.0
Byteplot,0.0,0.009433962264150943
Byteplot,0.0,0.07547169811320754
Byteplot,0.0,0.09433962264150944
Byteplot,0.0,0.3867924528301887
Byteplot,0.0,0.4056603773584906
Byteplot,0.0,1.0
Byteplot,1.0,1.0
Markov,0.0,0.0
Markov,0.0,0.02197802197802198
Markov,0.0,0.07692307692307693
Markov,0.0,0.0989010989010989
Markov,0.0,0.38461538461538464
Markov,0.0,0.42857142857142855
Markov,0.0,0.4725274725274725
Markov,0.0,0.4945054945054945
Markov,0.0,1.0
Markov,1.0,1.0
Simhash,0.0,0.0
Simhash,0.0,0.009433962264150943
Simhash,0.0,1.0
Simhash,1.0,1.0
SFC_Gray,0.0,0.0
SFC_Gray,0.0,0.009900990099009901
SFC_Gray,0.0,0.24752475247524752
SFC_Gray,0.0,0.26732673267326734
SFC_Gray,0.0,0.9207920792079208
SFC_Gray,0.009708737864077669,0.9207920792079208
SFC_Gray,0.009708737864077669,0.9603960396039604
SFC_Gray,0.019417475728155338,0.9603960396039604
SFC_Gray,0.019417475728155338,1.0
SFC_Gray,1.0,1.0
SFC_Hilbert,0.0,0.0
SFC_Hilbert,0.0,0.009345794392523364
SFC_Hilbert,0.0,0.9906542056074766
SFC_Hilbert,0.030927835051546393,0.9906542056074766
SFC_Hilbert,0.030927835051546393,1.0
SFC_Hilbert,0.7835051546391752,1.0
SFC_Hilbert,0.8041237113402062,1.0
SFC_Hilbert,1.0,1.0
SFC_Zorder,0.0,0.0
SFC_Zorder,0.0,0.009900990099009901
SFC_Zorder,0.0,1.0
SFC_Zorder,1.0,1.0
