Epoch,Model,Train Loss,Validation Loss
1,Byteplot,0.1891900717240313,0.3463278911076486
2,Byteplot,0.098758679855129,0.15758708032080904
3,Byteplot,0.07957928696566302,0.04288486111909151
4,Byteplot,0.04395119446511988,0.20328024728223681
5,Byteplot,0.043164497803208295,0.012659643543884158
6,Byteplot,0.022547253134215007,0.0496378866082523
7,Byteplot,0.01905331197295986,0.05587711906991899
8,Byteplot,0.015809095373539174,0.05733661269186996
9,Byteplot,0.014021126299074082,0.05861503862251993
10,Byteplot,0.010678171796430632,0.05492985131422756
1,Markov,0.1492060639784145,7.680731654167175
2,Markov,0.0032254821028049187,0.011289568967185915
3,Markov,0.03064616835605272,0.44054193415649934
4,Markov,0.007687124586917217,5.3013070821762085
5,Markov,0.00046137849415611964,0.00020093560988243553
6,Markov,0.00015707531407394487,0.00010456623022037093
7,Markov,0.00021291735048061642,0.00010989702786901034
8,Markov,0.0002337733326978354,9.808517279452644e-05
9,Markov,0.0017386945491244146,6.032248893461656e-05
10,Markov,0.0005652582049546966,0.00010293807463312987
1,Simhash,0.19857012444054303,0.684548657387495
2,Simhash,0.06487341056091954,0.02952290172682126
3,Simhash,0.030911843196245962,0.022570074193936307
4,Simhash,0.02936592624704961,0.1394756860099733
5,Simhash,0.029032886957081602,0.014498121834137123
6,Simhash,0.009185997311800273,0.020097294967854396
7,Simhash,0.010525353480024141,0.0163767922349507
8,Simhash,0.026532517020393203,0.012259312413334555
9,Simhash,0.006505644389266229,0.09025598448351957
10,Simhash,0.0061484255028240705,0.018234097813547123
1,SFC_Gray,0.22385437956646734,0.24654321998241358
2,SFC_Gray,0.13192573659445928,0.12286438001319766
3,SFC_Gray,0.04374101560603341,0.7195294909179211
4,SFC_Gray,0.04536043937601473,57.79061031341553
5,SFC_Gray,0.03297654462158275,0.31999360490590334
6,SFC_Gray,0.09397713736752453,0.017648800945607945
7,SFC_Gray,0.014548942426462536,0.009826652880292386
8,SFC_Gray,0.007628883624894787,0.0096064182871487
9,SFC_Gray,0.008029173760998832,0.02573195851800847
10,SFC_Gray,0.004658433833949106,0.024371419567614794
1,SFC_Hilbert,0.2851095092685326,0.5644396059215069
2,SFC_Hilbert,0.12740473708380823,0.20148398727178574
3,SFC_Hilbert,0.0909542287092494,0.4454222545027733
4,SFC_Hilbert,0.08294162208862278,0.6662992388010025
5,SFC_Hilbert,0.046115128870081644,0.6898844689130783
6,SFC_Hilbert,0.020283514681859346,0.12355399096850306
7,SFC_Hilbert,0.01248296091090078,0.10990909929387271
8,SFC_Hilbert,0.005963817846191966,0.09672768118616659
9,SFC_Hilbert,0.007432564508433089,0.09248062704864424
10,SFC_Hilbert,0.007335511408240089,0.1002749509170826
1,SFC_Zorder,0.2636404638381108,5.501794658601284
2,SFC_Zorder,0.12247471956779128,7.129269480705261
3,SFC_Zorder,0.08262323397819114,0.67509526014328
4,SFC_Zorder,0.10802427067866792,0.3066978007555008
5,SFC_Zorder,0.09597785758745411,0.08019688632339239
6,SFC_Zorder,0.028605408176941717,0.024828913155943155
7,SFC_Zorder,0.016487619844670204,0.10442853008862585
8,SFC_Zorder,0.01125954273764206,0.023936549085192382
9,SFC_Zorder,0.01090349270152333,0.022444562753662467
10,SFC_Zorder,0.007142253063173722,0.024340007974387845
