Epoch,Train Loss,Validation Loss
1,0.1891900717240313,0.3463278911076486
2,0.098758679855129,0.15758708032080904
3,0.07957928696566302,0.04288486111909151
4,0.04395119446511988,0.20328024728223681
5,0.043164497803208295,0.012659643543884158
6,0.022547253134215007,0.0496378866082523
7,0.01905331197295986,0.05587711906991899
8,0.015809095373539174,0.05733661269186996
9,0.014021126299074082,0.05861503862251993
10,0.010678171796430632,0.05492985131422756
